location,price,last4ccnum,date,time,cardtype,loyaltynum,day,lat,long,FullName
Guy's Gyros,10.11,9635.0,2014-01-07,13:46,loyalty,L3191,Tuesday,36.058886,24.89898,Gustav Cazar
Jack's Magical Beans,10.11,6899.0,2014-01-09,12:00,loyalty,L6267,Thursday,36.067639,24.874091,Isak Baza
Guy's Gyros,10.27,9551.0,2014-01-16,13:28,loyalty,L5777,Thursday,36.058886,24.89898,Adra Nubarron
Hallowed Grounds,10.34,7889.0,2014-01-10,07:49,loyalty,L6119,Friday,36.062653,24.885016,Lucas Alcazar
Guy's Gyros,10.34,4434.0,2014-01-08,13:57,loyalty,L2169,Wednesday,36.058886,24.89898,Minke Mies
Coffee Shack,10.48,7117.0,2014-01-16,12:00,loyalty,L6417,Thursday,36.073711,24.859376,Kanon Herrero
Gelatogalore,10.62,4434.0,2014-01-16,17:07,loyalty,L2169,Thursday,36.059816,24.862001,Minke Mies
Hallowed Grounds,10.65,2681.0,2014-01-14,08:12,loyalty,L1107,Tuesday,36.062653,24.885016,Nils Calixto
Hallowed Grounds,10.66,3492.0,2014-01-06,07:48,loyalty,L7814,Monday,36.062653,24.885016,Marin Onda
Hallowed Grounds,10.75,7889.0,2014-01-14,07:35,loyalty,L6119,Tuesday,36.062653,24.885016,Lucas Alcazar
Hallowed Grounds,10.76,7108.0,2014-01-10,07:50,loyalty,L6544,Friday,36.062653,24.885016,Brand Tempestad
Jack's Magical Beans,11.03,6899.0,2014-01-06,12:00,loyalty,L6267,Monday,36.067639,24.874091,Isak Baza
Guy's Gyros,11.22,1310.0,2014-01-06,13:39,loyalty,L8012,Monday,36.058886,24.89898,Birgitta Frente
Brew've Been Served,11.23,1286.0,2014-01-15,07:49,loyalty,L3572,Wednesday,36.055821,24.90319,Inga Ferro
Guy's Gyros,11.31,7108.0,2014-01-16,20:35,loyalty,L6544,Thursday,36.058886,24.89898,Brand Tempestad
Guy's Gyros,11.31,6816.0,2014-01-07,13:33,loyalty,L8148,Tuesday,36.058886,24.89898,Hennie Osvaldo
Brew've Been Served,11.34,4795.0,2014-01-06,07:28,loyalty,L8566,Monday,36.055821,24.90319,Edvard Vann
Brew've Been Served,11.49,1286.0,2014-01-13,08:07,loyalty,L3572,Monday,36.055821,24.90319,Inga Ferro
Hallowed Grounds,11.49,1310.0,2014-01-10,07:41,loyalty,L8012,Friday,36.062653,24.885016,Birgitta Frente
Ouzeri Elian,11.86,6899.0,2014-01-14,20:32,loyalty,L6267,Tuesday,36.052814,24.872723,Isak Baza
Brew've Been Served,11.91,4948.0,2014-01-07,08:00,loyalty,L9406,Tuesday,36.055821,24.90319,Isia Vann
Brew've Been Served,11.92,1286.0,2014-01-07,07:54,loyalty,L3572,Tuesday,36.055821,24.90319,Inga Ferro
Brew've Been Served,11.94,7819.0,2014-01-14,07:58,loyalty,L5259,Tuesday,36.055821,24.90319,Loreto Bodrogi
Bean There Done That,12.07,9635.0,2014-01-08,12:00,loyalty,L3191,Wednesday,36.081424,24.851061,Gustav Cazar
Hallowed Grounds,12.17,7108.0,2014-01-15,07:44,loyalty,L6544,Wednesday,36.062653,24.885016,Brand Tempestad
Hallowed Grounds,12.19,9551.0,2014-01-16,08:05,loyalty,L5777,Thursday,36.062653,24.885016,Adra Nubarron
Brew've Been Served,12.64,4434.0,2014-01-10,08:17,loyalty,L2169,Friday,36.055821,24.90319,Minke Mies
Brew've Been Served,12.67,1286.0,2014-01-16,07:52,loyalty,L3572,Thursday,36.055821,24.90319,Inga Ferro
Gelatogalore,12.74,7253.0,2014-01-06,13:19,loyalty,L1682,Monday,36.059816,24.862001,Linnea Bergen
Brew've Been Served,12.83,6816.0,2014-01-16,07:55,loyalty,L8148,Thursday,36.055821,24.90319,Hennie Osvaldo
Guy's Gyros,12.96,7384.0,2014-01-14,20:19,loyalty,L3800,Tuesday,36.058886,24.89898,Sven Flecha
Hallowed Grounds,13.0,7108.0,2014-01-14,07:45,loyalty,L6544,Tuesday,36.062653,24.885016,Brand Tempestad
Coffee Shack,13.13,7117.0,2014-01-08,12:00,loyalty,L6417,Wednesday,36.073711,24.859376,Kanon Herrero
Guy's Gyros,13.48,6816.0,2014-01-16,13:44,loyalty,L8148,Thursday,36.058886,24.89898,Hennie Osvaldo
Guy's Gyros,13.59,7889.0,2014-01-09,13:28,loyalty,L6119,Thursday,36.058886,24.89898,Lucas Alcazar
Hallowed Grounds,13.68,3492.0,2014-01-13,07:43,loyalty,L7814,Monday,36.062653,24.885016,Marin Onda
Hallowed Grounds,13.84,7889.0,2014-01-16,07:44,loyalty,L6119,Thursday,36.062653,24.885016,Lucas Alcazar
Brew've Been Served,14.04,4948.0,2014-01-14,07:45,loyalty,L9406,Tuesday,36.055821,24.90319,Isia Vann
Hallowed Grounds,14.05,7889.0,2014-01-07,07:35,loyalty,L6119,Tuesday,36.062653,24.885016,Lucas Alcazar
Hallowed Grounds,14.33,3492.0,2014-01-15,07:59,loyalty,L7814,Wednesday,36.062653,24.885016,Marin Onda
Hallowed Grounds,14.39,2681.0,2014-01-15,08:13,loyalty,L1107,Wednesday,36.062653,24.885016,Nils Calixto
Coffee Cameleon,14.57,4795.0,2014-01-17,13:27,loyalty,L9637,Friday,36.055057,24.890666,Edvard Vann
Guy's Gyros,14.87,7819.0,2014-01-07,19:45,loyalty,L5259,Tuesday,36.058886,24.89898,Loreto Bodrogi
Ouzeri Elian,14.9,2681.0,2014-01-18,19:46,loyalty,L1107,Saturday,36.052814,24.872723,Nils Calixto
Brew've Been Served,14.97,1286.0,2014-01-06,08:16,loyalty,L3572,Monday,36.055821,24.90319,Inga Ferro
Hallowed Grounds,15.33,2681.0,2014-01-09,08:15,loyalty,L1107,Thursday,36.062653,24.885016,Nils Calixto
Brew've Been Served,15.46,7819.0,2014-01-17,08:22,loyalty,L5259,Friday,36.055821,24.90319,Loreto Bodrogi
Brew've Been Served,15.5,6816.0,2014-01-15,07:36,loyalty,L8148,Wednesday,36.055821,24.90319,Hennie Osvaldo
Brew've Been Served,15.58,4434.0,2014-01-06,08:06,loyalty,L2169,Monday,36.055821,24.90319,Minke Mies
Coffee Cameleon,15.63,7253.0,2014-01-14,07:53,loyalty,L1682,Tuesday,36.055057,24.890666,Linnea Bergen
Jack's Magical Beans,15.69,6899.0,2014-01-10,12:00,loyalty,L6267,Friday,36.067639,24.874091,Isak Baza
Guy's Gyros,15.84,7819.0,2014-01-13,20:18,loyalty,L5259,Monday,36.058886,24.89898,Loreto Bodrogi
Brew've Been Served,15.85,6816.0,2014-01-10,07:35,loyalty,L8148,Friday,36.055821,24.90319,Hennie Osvaldo
Guy's Gyros,15.93,7253.0,2014-01-10,13:27,loyalty,L1682,Friday,36.058886,24.89898,Linnea Bergen
Brew've Been Served,16.05,4434.0,2014-01-13,08:04,loyalty,L2169,Monday,36.055821,24.90319,Minke Mies
Bean There Done That,16.09,9635.0,2014-01-06,12:00,loyalty,L3191,Monday,36.081424,24.851061,Gustav Cazar
Coffee Shack,16.63,7117.0,2014-01-07,12:00,loyalty,L6417,Tuesday,36.073711,24.859376,Kanon Herrero
Brew've Been Served,16.9,7819.0,2014-01-16,08:19,loyalty,L5259,Thursday,36.055821,24.90319,Loreto Bodrogi
Guy's Gyros,16.92,7384.0,2014-01-06,13:30,loyalty,L3800,Monday,36.058886,24.89898,Sven Flecha
Brew've Been Served,17.13,7819.0,2014-01-08,08:01,loyalty,L5259,Wednesday,36.055821,24.90319,Loreto Bodrogi
Brew've Been Served,17.44,4434.0,2014-01-16,08:09,loyalty,L2169,Thursday,36.055821,24.90319,Minke Mies
Hallowed Grounds,17.56,1310.0,2014-01-09,07:37,loyalty,L8012,Thursday,36.062653,24.885016,Birgitta Frente
Hallowed Grounds,17.63,2681.0,2014-01-10,07:46,loyalty,L1107,Friday,36.062653,24.885016,Nils Calixto
Brew've Been Served,17.64,1286.0,2014-01-09,08:14,loyalty,L3572,Thursday,36.055821,24.90319,Inga Ferro
Hallowed Grounds,17.74,3492.0,2014-01-16,07:44,loyalty,L7814,Thursday,36.062653,24.885016,Marin Onda
Gelatogalore,18.1,2681.0,2014-01-17,13:47,loyalty,L1107,Friday,36.059816,24.862001,Nils Calixto
Hallowed Grounds,18.2,7108.0,2014-01-16,07:44,loyalty,L6544,Thursday,36.062653,24.885016,Brand Tempestad
Guy's Gyros,18.26,1286.0,2014-01-09,20:24,loyalty,L3572,Thursday,36.058886,24.89898,Inga Ferro
Jack's Magical Beans,18.31,6899.0,2014-01-13,12:00,loyalty,L6267,Monday,36.067639,24.874091,Isak Baza
Brew've Been Served,18.71,4795.0,2014-01-13,07:43,loyalty,L8566,Monday,36.055821,24.90319,Edvard Vann
Frydos Autosupply n' More,18.91,2540.0,2014-01-15,19:52,loyalty,L5947,Wednesday,36.058722,24.90631,Elsa Orilla
Hallowed Grounds,18.97,7108.0,2014-01-07,07:48,loyalty,L6544,Tuesday,36.062653,24.885016,Brand Tempestad
Coffee Shack,19.16,7117.0,2014-01-17,12:00,loyalty,L6417,Friday,36.073711,24.859376,Kanon Herrero
Hallowed Grounds,19.18,7108.0,2014-01-13,07:54,loyalty,L6544,Monday,36.062653,24.885016,Brand Tempestad
Bean There Done That,19.37,9635.0,2014-01-14,12:00,loyalty,L3191,Tuesday,36.081424,24.851061,Gustav Cazar
Brew've Been Served,19.39,4795.0,2014-01-17,07:59,loyalty,L8566,Friday,36.055821,24.90319,Edvard Vann
Guy's Gyros,19.68,6816.0,2014-01-17,19:29,loyalty,L8148,Friday,36.058886,24.89898,Hennie Osvaldo
Ouzeri Elian,19.7,7117.0,2014-01-14,14:01,loyalty,L6417,Tuesday,36.052814,24.872723,Kanon Herrero
Ouzeri Elian,19.82,9220.0,2014-01-13,12:55,loyalty,L4063,Monday,36.052814,24.872723,Orhan Strum
Ouzeri Elian,19.92,6899.0,2014-01-10,18:52,loyalty,L6267,Friday,36.052814,24.872723,Isak Baza
Guy's Gyros,20.47,4795.0,2014-01-13,20:11,loyalty,L8566,Monday,36.058886,24.89898,Edvard Vann
Ouzeri Elian,20.53,2681.0,2014-01-07,20:49,loyalty,L1107,Tuesday,36.052814,24.872723,Nils Calixto
Ouzeri Elian,20.56,6816.0,2014-01-06,13:37,loyalty,L8148,Monday,36.052814,24.872723,Hennie Osvaldo
Guy's Gyros,21.1,7117.0,2014-01-17,14:05,loyalty,L6417,Friday,36.058886,24.89898,Kanon Herrero
Gelatogalore,21.52,9551.0,2014-01-07,13:37,loyalty,L5777,Tuesday,36.059816,24.862001,Adra Nubarron
Gelatogalore,21.62,3492.0,2014-01-17,13:57,loyalty,L7814,Friday,36.059816,24.862001,Marin Onda
Ouzeri Elian,21.83,2681.0,2014-01-13,20:43,loyalty,L1107,Monday,36.052814,24.872723,Nils Calixto
Guy's Gyros,22.18,3492.0,2014-01-17,19:24,loyalty,L2490,Friday,36.058886,24.89898,Marin Onda
Ouzeri Elian,22.4,6816.0,2014-01-09,13:23,loyalty,L8148,Thursday,36.052814,24.872723,Hennie Osvaldo
Gelatogalore,22.64,7889.0,2014-01-06,13:41,loyalty,L6119,Monday,36.059816,24.862001,Lucas Alcazar
Ouzeri Elian,22.65,2681.0,2014-01-16,20:25,loyalty,L1107,Thursday,36.052814,24.872723,Nils Calixto
Ouzeri Elian,22.86,7108.0,2014-01-15,13:42,loyalty,L6544,Wednesday,36.052814,24.872723,Brand Tempestad
Ouzeri Elian,23.18,6899.0,2014-01-15,20:29,loyalty,L6267,Wednesday,36.052814,24.872723,Isak Baza
Guy's Gyros,23.21,1286.0,2014-01-19,19:45,loyalty,L3288,Sunday,36.058886,24.89898,Inga Ferro
Gelatogalore,23.23,9635.0,2014-01-17,13:33,loyalty,L3191,Friday,36.059816,24.862001,Gustav Cazar
Gelatogalore,23.41,7819.0,2014-01-06,14:00,loyalty,L5259,Monday,36.059816,24.862001,Loreto Bodrogi
Gelatogalore,23.45,4795.0,2014-01-09,13:21,loyalty,L8566,Thursday,36.059816,24.862001,Edvard Vann
Guy's Gyros,23.59,4795.0,2014-01-14,20:01,loyalty,L8566,Tuesday,36.058886,24.89898,Edvard Vann
Guy's Gyros,23.61,6816.0,2014-01-10,19:45,loyalty,L8148,Friday,36.058886,24.89898,Hennie Osvaldo
Ouzeri Elian,23.89,6899.0,2014-01-16,20:25,loyalty,L6267,Thursday,36.052814,24.872723,Isak Baza
Gelatogalore,24.68,2681.0,2014-01-09,13:45,loyalty,L1107,Thursday,36.059816,24.862001,Nils Calixto
Ouzeri Elian,24.72,7819.0,2014-01-12,13:28,loyalty,L5259,Sunday,36.052814,24.872723,Loreto Bodrogi
Gelatogalore,24.96,7117.0,2014-01-15,13:46,loyalty,L6417,Wednesday,36.059816,24.862001,Kanon Herrero
Guy's Gyros,25.28,7819.0,2014-01-14,20:29,loyalty,L5259,Tuesday,36.058886,24.89898,Loreto Bodrogi
Guy's Gyros,25.57,7384.0,2014-01-16,19:04,loyalty,L3800,Thursday,36.058886,24.89898,Sven Flecha
Ouzeri Elian,26.09,7688.0,2014-01-09,13:21,loyalty,L4164,Thursday,36.052814,24.872723,Ingrid Barranco
Ouzeri Elian,26.4,2681.0,2014-01-17,20:35,loyalty,L1107,Friday,36.052814,24.872723,Nils Calixto
Guy's Gyros,26.68,7384.0,2014-01-10,13:38,loyalty,L3800,Friday,36.058886,24.89898,Sven Flecha
Guy's Gyros,26.76,6816.0,2014-01-10,13:25,loyalty,L8148,Friday,36.058886,24.89898,Hennie Osvaldo
Guy's Gyros,27.01,1286.0,2014-01-15,21:05,loyalty,L3572,Wednesday,36.058886,24.89898,Inga Ferro
Gelatogalore,27.26,7384.0,2014-01-14,13:32,loyalty,L3800,Tuesday,36.059816,24.862001,Sven Flecha
Guy's Gyros,27.49,2540.0,2014-01-13,13:33,loyalty,L5947,Monday,36.058886,24.89898,Elsa Orilla
Guy's Gyros,27.78,4795.0,2014-01-10,19:54,loyalty,L8566,Friday,36.058886,24.89898,Edvard Vann
Ouzeri Elian,28.37,4948.0,2014-01-07,13:32,loyalty,L9406,Tuesday,36.052814,24.872723,Isia Vann
Ouzeri Elian,28.75,9551.0,2014-01-13,19:30,loyalty,L5777,Monday,36.052814,24.872723,Adra Nubarron
Guy's Gyros,28.81,7384.0,2014-01-08,20:07,loyalty,L3800,Wednesday,36.058886,24.89898,Sven Flecha
Guy's Gyros,28.94,7819.0,2014-01-06,20:24,loyalty,L5259,Monday,36.058886,24.89898,Loreto Bodrogi
Guy's Gyros,29.7,7819.0,2014-01-16,13:42,loyalty,L5259,Thursday,36.058886,24.89898,Loreto Bodrogi
Ouzeri Elian,29.85,6899.0,2014-01-08,21:17,loyalty,L6267,Wednesday,36.052814,24.872723,Isak Baza
Guy's Gyros,29.96,6816.0,2014-01-09,19:52,loyalty,L8148,Thursday,36.058886,24.89898,Hennie Osvaldo
Guy's Gyros,30.12,7384.0,2014-01-08,13:32,loyalty,L3800,Wednesday,36.058886,24.89898,Sven Flecha
Guy's Gyros,30.48,4434.0,2014-01-08,19:48,loyalty,L2169,Wednesday,36.058886,24.89898,Minke Mies
Guy's Gyros,30.76,6816.0,2014-01-16,20:17,loyalty,L8148,Thursday,36.058886,24.89898,Hennie Osvaldo
Guy's Gyros,30.82,9635.0,2014-01-06,13:46,loyalty,L3191,Monday,36.058886,24.89898,Gustav Cazar
Guy's Gyros,31.04,4434.0,2014-01-15,19:55,loyalty,L2169,Wednesday,36.058886,24.89898,Minke Mies
Guy's Gyros,31.31,4434.0,2014-01-09,21:09,loyalty,L2169,Thursday,36.058886,24.89898,Minke Mies
Guy's Gyros,31.48,7889.0,2014-01-16,13:23,loyalty,L6119,Thursday,36.058886,24.89898,Lucas Alcazar
Guy's Gyros,31.5,9635.0,2014-01-10,13:47,loyalty,L3191,Friday,36.058886,24.89898,Gustav Cazar
Guy's Gyros,31.94,4434.0,2014-01-19,20:30,loyalty,L2169,Sunday,36.058886,24.89898,Minke Mies
Ouzeri Elian,32.89,7108.0,2014-01-09,14:04,loyalty,L6544,Thursday,36.052814,24.872723,Brand Tempestad
Guy's Gyros,33.65,7384.0,2014-01-11,20:06,loyalty,L3800,Saturday,36.058886,24.89898,Sven Flecha
Ouzeri Elian,33.67,2681.0,2014-01-14,13:53,loyalty,L1107,Tuesday,36.052814,24.872723,Nils Calixto
Gelatogalore,34.04,7253.0,2014-01-07,13:33,loyalty,L1682,Tuesday,36.059816,24.862001,Linnea Bergen
Gelatogalore,34.59,7819.0,2014-01-17,13:51,loyalty,L5259,Friday,36.059816,24.862001,Loreto Bodrogi
Guy's Gyros,35.05,7384.0,2014-01-09,20:39,loyalty,L3800,Thursday,36.058886,24.89898,Sven Flecha
Guy's Gyros,35.1,4795.0,2014-01-17,19:53,loyalty,L8566,Friday,36.058886,24.89898,Edvard Vann
Gelatogalore,35.29,7889.0,2014-01-08,13:42,loyalty,L6119,Wednesday,36.059816,24.862001,Lucas Alcazar
Ouzeri Elian,35.81,9551.0,2014-01-17,20:28,loyalty,L5777,Friday,36.052814,24.872723,Adra Nubarron
Gelatogalore,36.2,1286.0,2014-01-12,19:50,loyalty,L3288,Sunday,36.059816,24.862001,Inga Ferro
Gelatogalore,36.33,3492.0,2014-01-06,13:52,loyalty,L7814,Monday,36.059816,24.862001,Marin Onda
Guy's Gyros,36.35,6816.0,2014-01-15,20:08,loyalty,L8148,Wednesday,36.058886,24.89898,Hennie Osvaldo
Gelatogalore,36.5,2681.0,2014-01-07,13:49,loyalty,L1107,Tuesday,36.059816,24.862001,Nils Calixto
Gelatogalore,36.75,7117.0,2014-01-09,14:18,loyalty,L6417,Thursday,36.059816,24.862001,Kanon Herrero
Guy's Gyros,36.87,7108.0,2014-01-19,20:14,loyalty,L6544,Sunday,36.058886,24.89898,Brand Tempestad
Guy's Gyros,36.89,7384.0,2014-01-13,20:15,loyalty,L3800,Monday,36.058886,24.89898,Sven Flecha
Guy's Gyros,37.5,7108.0,2014-01-13,20:59,loyalty,L6544,Monday,36.058886,24.89898,Brand Tempestad
Guy's Gyros,37.8,4795.0,2014-01-16,19:40,loyalty,L8566,Thursday,36.058886,24.89898,Edvard Vann
Guy's Gyros,38.07,7117.0,2014-01-13,14:00,loyalty,L6417,Monday,36.058886,24.89898,Kanon Herrero
Ouzeri Elian,38.6,6899.0,2014-01-17,19:40,loyalty,L6267,Friday,36.052814,24.872723,Isak Baza
Ouzeri Elian,38.9,2540.0,2014-01-06,13:22,loyalty,L5947,Monday,36.052814,24.872723,Elsa Orilla
Guy's Gyros,39.29,7384.0,2014-01-06,19:18,loyalty,L3800,Monday,36.058886,24.89898,Sven Flecha
Gelatogalore,39.4,7819.0,2014-01-15,13:58,loyalty,L5259,Wednesday,36.059816,24.862001,Loreto Bodrogi
Gelatogalore,39.94,4948.0,2014-01-08,14:17,loyalty,L9406,Wednesday,36.059816,24.862001,Isia Vann
Guy's Gyros,42.32,7108.0,2014-01-12,19:26,loyalty,L6544,Sunday,36.058886,24.89898,Brand Tempestad
Frydos Autosupply n' More,42.72,4434.0,2014-01-14,20:33,loyalty,L2169,Tuesday,36.058722,24.90631,Minke Mies
Ouzeri Elian,45.32,7384.0,2014-01-19,14:08,loyalty,L3800,Sunday,36.052814,24.872723,Sven Flecha
Frydos Autosupply n' More,49.21,4948.0,2014-01-14,21:28,loyalty,L9406,Tuesday,36.058722,24.90631,Isia Vann
Gelatogalore,50.36,1286.0,2014-01-08,13:38,loyalty,L3288,Wednesday,36.059816,24.862001,Inga Ferro
Guy's Gyros,50.4,1286.0,2014-01-14,13:59,loyalty,L3288,Tuesday,36.058886,24.89898,Inga Ferro
Frank's Fuel,52.66,9635.0,2014-01-18,18:39,loyalty,L3191,Saturday,36.072905,24.838942,Gustav Cazar
Frydos Autosupply n' More,52.73,7688.0,2014-01-11,16:09,loyalty,L4164,Saturday,36.058722,24.90631,Ingrid Barranco
